Setor;CodigoRevendedor;NomeRevendedora;CicloFaturamento;CodigoProduto;NomeProduto;QuantidadeItens;ValorPraticado;Tipo
14210 FVC - 13706 - A - ALCINA MARIA 1;REV003;Fernanda Costa Lima;01/2026;PROD014;Perfume Masculino;8;2800,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV003;Fernanda Costa Lima;01/2026;PROD015;Pos Barba;10;350,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV003;Fernanda Costa Lima;02/2026;PROD016;Gel Fixador;15;225,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV003;Fernanda Costa Lima;02/2026;PROD017;Creme Barbear;8;160,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV003;Fernanda Costa Lima;03/2026;PROD018;Kit Presente;5;1250,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV003;Fernanda Costa Lima;03/2026;PROD019;Colonia Fresh;12;1080,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV003;Fernanda Costa Lima;04/2026;PROD020;Sabonete Liquido;20;400,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV003;Fernanda Costa Lima;04/2026;PROD021;Hidratante Corp;15;525,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV004;Juliana Pereira Souza;01/2026;PROD022;Kit Natal;3;1500,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV004;Juliana Pereira Souza;01/2026;PROD023;Perfume Premium;2;980,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV004;Juliana Pereira Souza;02/2026;PROD024;Creme Anti Idade;4;720,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV004;Juliana Pereira Souza;02/2026;PROD025;Serum Vitamina C;6;540,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV004;Juliana Pereira Souza;03/2026;PROD026;Protetor Solar;10;650,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV004;Juliana Pereira Souza;03/2026;PROD027;Agua Micelar;8;320,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV004;Juliana Pereira Souza;04/2026;PROD028;Tonico Facial;5;275,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV004;Juliana Pereira Souza;04/2026;PROD029;Mascara Capilar;12;480,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV004;Juliana Pereira Souza;05/2026;PROD030;Oleo Capilar;8;360,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV004;Juliana Pereira Souza;05/2026;PROD031;Leave In;6;270,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV004;Juliana Pereira Souza;06/2026;PROD032;Spray Fixador;10;350,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV004;Juliana Pereira Souza;06/2026;PROD033;Mousse Modelador;7;245,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV005;Patricia Almeida Dias;01/2026;PROD034;Linha Infantil;15;1125,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV005;Patricia Almeida Dias;01/2026;PROD035;Colonia Baby;20;600,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV005;Patricia Almeida Dias;02/2026;PROD036;Shampoo Kids;25;375,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV005;Patricia Almeida Dias;02/2026;PROD037;Creme Pentear;18;270,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV005;Patricia Almeida Dias;03/2026;PROD038;Talco Bebe;30;450,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV005;Patricia Almeida Dias;03/2026;PROD039;Oleo Bebe;22;330,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV006;Camila Rodrigues Ferreira;01/2026;PROD040;Perfume Intenso;1;450,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV006;Camila Rodrigues Ferreira;01/2026;PROD041;Creme Corpo;2;180,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV006;Camila Rodrigues Ferreira;02/2026;PROD042;Sabonete Barra;5;75,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV007;Amanda Martins Gomes;01/2026;PROD043;Super Kit;10;15000,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV007;Amanda Martins Gomes;02/2026;PROD044;Kit Revenda;8;12000,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV007;Amanda Martins Gomes;03/2026;PROD045;Mega Promocao;6;9000,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV007;Amanda Martins Gomes;04/2026;PROD046;Kit Especial;5;7500,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV007;Amanda Martins Gomes;05/2026;PROD047;Colecao Verao;4;6000,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV007;Amanda Martins Gomes;06/2026;PROD048;Linha Premium;3;4500,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV007;Amanda Martins Gomes;07/2026;PROD049;Kit Inverno;4;6000,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV007;Amanda Martins Gomes;08/2026;PROD050;Edicao Limitada;5;7500,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV007;Amanda Martins Gomes;09/2026;PROD051;Kit Final Ano;6;9000,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV008;Beatriz Nascimento;01/2026;PROD052;Batom Luxo;50;2500,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV008;Beatriz Nascimento;02/2026;PROD053;Gloss Labial;40;1600,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV008;Beatriz Nascimento;03/2026;PROD054;Lip Tint;35;1400,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV008;Beatriz Nascimento;04/2026;PROD055;Balm Labial;30;900,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV008;Beatriz Nascimento;05/2026;PROD056;Esmalte Kit;25;625,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV009;Carla Souza Mendes;01/2026;PROD057;Produto X;1;150,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV009;Carla Souza Mendes;01/2026;PROD058;Produto Y;1;100,00;Devolucao
14210 FVC - 13706 - A - ALCINA MARIA 1;REV010;Daniela Barbosa;01/2026;PROD059;Kit Bronze;2;5800,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV010;Daniela Barbosa;02/2026;PROD060;Kit Bronze Plus;1;3000,00;Venda
3124 BRONZE / Todas as cidades 13707;REV101;Lucia Ferreira;01/2026;PROD061;Perfume Basic;3;525,00;Venda
3124 BRONZE / Todas as cidades 13707;REV101;Lucia Ferreira;02/2026;PROD062;Creme Maos;5;125,00;Venda
3124 BRONZE / Todas as cidades 13707;REV101;Lucia Ferreira;03/2026;PROD063;Desodorante Roll;8;160,00;Venda
3124 BRONZE / Todas as cidades 13707;REV102;Mariana Costa;01/2026;PROD064;Kit Iniciante;2;1200,00;Venda
3124 BRONZE / Todas as cidades 13707;REV102;Mariana Costa;02/2026;PROD065;Sabonete Glicerina;10;150,00;Venda
3124 BRONZE / Todas as cidades 13707;REV102;Mariana Costa;03/2026;PROD066;Hidratante Labial;15;225,00;Venda
3124 BRONZE / Todas as cidades 13707;REV103;Sandra Lima;01/2026;PROD067;Colonia Suave;4;280,00;Venda
3124 BRONZE / Todas as cidades 13707;REV103;Sandra Lima;01/2026;PROD068;Talco Perfumado;6;90,00;Venda
